French,English
parti,left
suite,after
police,police
car,because
histoire,history
partie,part
enfin,finally
seulement,only
genre,kind
chercher,search
aide,help
ville,city
mois,month
mettre,to put
demande,request
chaque,each
bébé,baby
heures,hours
vont,will
pensais,thought
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
train,train
voici,here is
corps,body
endroit,place
yeux,eyes
type,type
donné,given
façon,way
leurs,their
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
première,first
tellement,so much
enfant,child
point,point
venu,came
pardon,sorry
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
venez,come
devant,in front of
droit,law
aimerais,would like to
aujourd'hui,today
devrait,should
belle,beautiful
aucun,no
frère,brother
laisser,let
eux,them
longtemps,long time
pendant,while
laisse,leash
parlé,speak
arrivé,come
mari,husband
cause,cause
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
donne,given
aura,will have
filles,girls
jouer,to play
bureau,office
